query,mean_atf,mean_delta_unconstrained,mean_j_eta,mean_ridi_unconstrained,mean_ridi_controlled,mean_utility_regret,n_nonzero_cells
UMLS:C0019236,0.9379310344827586,15.833333333333334,1.5,0.070842236508503,0.0029863960410431243,0.0007445692726499683,6
UMLS:C0019927,0.8352053140096619,20.833333333333332,2.8333333333333335,0.0828460746831537,0.013232845703839627,0.0005842104226688469,6
UMLS:C0020166,0.8903752899009066,20.166666666666668,1.0,0.08550814913389782,0.011166949734776227,0.0007995372656720875,6
UMLS:C0020362,0.9505534670008354,19.333333333333332,1.6666666666666667,0.0737472190100265,0.003651732035720436,0.0008149436396556741,6
UMLS:C0025417,0.9814241486068113,11.833333333333334,0.3333333333333333,0.062143193470288176,0.000666000666000666,0.0006000719480866789,6
UMLS:C0025555,0.8157814407814409,18.333333333333332,4.5,0.06999130814530313,0.011563280109274173,0.0005997734416035597,6
UMLS:C0025732,0.8789847883597884,20.833333333333332,2.5,0.0969490149221534,0.01224046367230358,0.0008686928083729102,6
UMLS:C0026236,0.9663835030682857,23.166666666666668,1.3333333333333333,0.08456153594199374,0.002989046782057775,0.000630426088788726,6
UMLS:C0026535,0.8401239958691148,22.5,5.666666666666667,0.076544517452752,0.013509690220866422,0.0008100022972994717,6
UMLS:C0026661,0.9408200012547838,17.0,1.3333333333333333,0.07773597738648515,0.004314429146594159,0.0005983603047398153,6
UMLS:C0027608,1.0,17.166666666666668,0.0,0.0789743833487285,0.0,0.00045197676434661094,6
UMLS:C0028040,0.5911196911196911,31.333333333333332,17.5,0.1309605953079154,0.04722995021340387,0.0009285035804618207,6
UMLS:C0029904,0.7125056230319388,23.5,9.333333333333334,0.09744197350160011,0.024859714678274716,0.0007700585114611899,6
UMLS:C0030800,0.7343537414965987,26.0,6.166666666666667,0.11072786405792755,0.03261427217434477,0.0006685381095186128,6
UMLS:C0031251,0.6610636167562356,25.833333333333332,6.166666666666667,0.10142577478077221,0.038186871324805256,0.000614971764226209,6
UMLS:C0031447,0.7311377306116665,29.666666666666668,7.0,0.11685023244821006,0.033664056155359855,0.000883526814019538,6
UMLS:C0031463,0.638197659003975,27.0,12.166666666666666,0.12212367889993432,0.038477142952548574,0.0009235455445743877,6
UMLS:C0031585,0.9485780423280423,18.0,1.3333333333333333,0.07432709025325078,0.0033246899355161394,0.0005204590414420151,6
UMLS:C0031610,0.9924242424242425,15.166666666666666,0.16666666666666666,0.0655989209571415,0.000665335994677312,0.0005786280668403843,6
UMLS:C0031696,0.7547721590687136,25.833333333333332,5.5,0.09656112660536376,0.023036950816701873,0.0006639370192409142,6
UMLS:C0031953,0.7477439018792403,31.5,6.666666666666667,0.12467108201812184,0.0342406899490977,0.0009002163608136881,6
UMLS:C0032479,0.7097188656164221,29.666666666666668,8.166666666666666,0.11134848886015013,0.03373839222261942,0.0007598300857996953,6
UMLS:C0034410,0.0023383500602275342,532.3333333333334,530.3333333333334,0.9994991651638278,0.998327560572582,0.0005830758970059164,6
UMLS:C0036733,0.8993770658530384,15.833333333333334,2.1666666666666665,0.07145873836188259,0.005972135315596461,0.0006600850465427149,6
UMLS:C0037732,0.9584899749373434,17.333333333333332,1.1666666666666667,0.07064743574687225,0.0026586932376945972,0.0007346594019938019,6
UMLS:C0038329,0.9019734350616703,26.833333333333332,4.333333333333333,0.10325706090195437,0.010865630901061555,0.0006670262583057688,6
UMLS:C0038623,0.4380628630628631,32.833333333333336,15.333333333333334,0.15490476682504806,0.1024291839493534,0.0006420835526886143,6
UMLS:C0039512,0.8853174603174603,19.0,2.0,0.0863484672353403,0.010919047530444618,0.0008646666415888884,6
UMLS:C0039533,0.8377694165737645,20.0,2.5,0.07652629403026286,0.012901833428580414,0.0005718284854457008,6
UMLS:C0039542,0.8248020748020748,21.833333333333332,5.666666666666667,0.08784321106959765,0.013846451161357382,0.0007557905211128856,6
UMLS:C0041119,0.8637085137085138,18.666666666666668,2.1666666666666665,0.0708167406884298,0.010576834700863869,0.0005371872007609099,6
UMLS:C0041993,0.8543663698541747,24.0,3.5,0.11725735170333895,0.0177859447804173,0.0007514419545302203,6
UMLS:C0043031,0.6287001287001287,31.666666666666668,16.166666666666668,0.13135987312356548,0.043202831615638475,0.0009034328548923566,6
UMLS:C0044415,0.974048174048174,16.5,0.5,0.07689165646285287,0.001663672322354957,0.000611867166689825,6
UMLS:C0044802,0.9542929292929293,16.0,1.0,0.06810699017109444,0.002661343978709248,0.0005224801340025395,6
UMLS:C0047101,0.8617934353228471,26.833333333333332,5.0,0.1119465931822586,0.013525174021232657,0.0006620125725120798,6
UMLS:C0048737,0.7734980192958917,24.0,4.333333333333333,0.09273780120600195,0.022338392937060508,0.0005945215522763801,6
UMLS:C0049415,0.958650964450821,25.0,1.6666666666666667,0.08902032737591699,0.003984079554608476,0.0005771816693013939,6
UMLS:C0051165,0.7701861289203061,36.5,12.666666666666666,0.13292253260026432,0.03208122700287,0.0007554040745960535,6
UMLS:C0051809,0.8687162350320246,21.5,2.5,0.09129443050150866,0.014146748527002276,0.0007533422601216923,6
UMLS:C0051842,0.9568368623246672,20.0,1.5,0.08064938860181642,0.0033187435599311647,0.0005989673922189947,6
UMLS:C0052585,0.6716395694517091,37.0,13.5,0.17566769957474526,0.058746214785499934,0.00094303491896249,6
UMLS:C0053111,0.8344430328125981,17.166666666666668,2.1666666666666665,0.08451714700097818,0.01739028288927462,0.0005615915917443849,6
UMLS:C0053393,0.9345743258786737,16.166666666666668,1.6666666666666667,0.05629439490784549,0.003986055755138533,0.0003775065207542915,6
UMLS:C0053529,0.9253968253968253,17.166666666666668,1.8333333333333333,0.06400842389670859,0.0049784377866745845,0.0006463939434402363,6
UMLS:C0054072,0.9824561403508772,14.166666666666666,0.3333333333333333,0.07502419441248304,0.000666000666000666,0.0003327041986907506,6
UMLS:C0054106,0.8015965505699135,27.333333333333332,4.833333333333333,0.09147822956889491,0.017832306097548906,0.0006300266843942398,6
UMLS:C0054849,0.9460927960927962,22.166666666666668,1.6666666666666667,0.0777740474779897,0.0046493997396972325,0.0005755688997439186,6
UMLS:C0057090,0.94230105937423,22.0,1.8333333333333333,0.09547839405692847,0.004648741008801194,0.0007901376068383917,6
UMLS:C0057835,0.7733677141571879,27.333333333333332,5.5,0.10350760538356148,0.02495320765788457,0.0007755588808358692,6
UMLS:C0060573,0.7870310786977454,22.833333333333332,4.333333333333333,0.0989187448289286,0.020089899220492927,0.000522795990393924,6
UMLS:C0060933,0.8494966081172978,22.333333333333332,2.5,0.08493293747151387,0.013222368590367161,0.0008719890674832033,6
UMLS:C0061202,0.6552814060406772,29.166666666666668,14.166666666666666,0.1151167061163435,0.03725998226691366,0.0007364432268826187,6
UMLS:C0062602,0.9718253968253968,18.166666666666668,1.0,0.08680982407582617,0.0019913751257034837,0.0005043668545814871,6
UMLS:C0062669,0.9646545584045584,18.5,0.8333333333333334,0.08844719562069336,0.002329008317032269,0.00045149392393958854,6
