original_name,rxcui,rxnorm_name,tty,ingredient_rxcui,ingredient_name,atc_rxclass_level4,atc_chembl_level5,chembl_id,drugbank_id,degree,pair_share_pct,resolution_status,notes
heparin,5224,heparin,IN,5224,heparin,B01AB;C05BA;S01XA,S01XA14;B01AB01;C05BA03,CHEMBL4650299,,63,7.62,resolved_exact,"normalized lookup returns PIN 235473 (heparin, porcine) and IN 5224 (heparin); ingredient taken as IN 5224; no DrugBank ID via UniChem (structure-keyed lookup not applicable: molecule type Oligosaccharide)"
humalog,135805,Humalog,BN,86009,insulin lispro,A10AB;A10AC;A10AD,A10AB04;A10AC04,CHEMBL1201538,,8,0.97,brand_level,RxNorm BN 135805; ingredient-level concept is IN 86009 insulin lispro; no DrugBank ID via UniChem (structure-keyed lookup not applicable: molecule type Protein)
hydralazine,5470,hydralazine,IN,5470,hydralazine,C02DB,C02DB02,CHEMBL276832,DB01275,4,0.48,resolved_exact,
hydrochlorothiazide,5487,hydrochlorothiazide,IN,5487,hydrochlorothiazide,C03AA;C09DX;C09XA,C03AX01;C03AA03,CHEMBL435,DB00999,9,1.09,resolved_exact,
hydrocodone,5489,hydrocodone,IN,5489,hydrocodone,N02AJ;R05DA,R05DA03,CHEMBL1457,DB00956,50,6.05,resolved_exact,
hydroxychloroquine,5521,hydroxychloroquine,IN,5521,hydroxychloroquine,P01BA,P01BA02,CHEMBL1535,DB01611,5,0.6,resolved_exact,
ibuprofen,5640,ibuprofen,IN,5640,ibuprofen,C01EB;G02CC;M01AE;M02AA;N02AJ;R02AX,G02CC01;M01AE51;M02AA13;R02AX02;C01EB16;M01AE01,CHEMBL521,DB01050,3,0.36,resolved_exact,
imipramine,5691,imipramine,IN,5691,imipramine,N06AA,N06AA02,CHEMBL11,DB00458,5,0.6,resolved_exact,
irbesartan,83818,irbesartan,IN,83818,irbesartan,C09CA,C09CA04,CHEMBL1513,DB01029,4,0.48,resolved_exact,
isosorbide,6057,isosorbide,IN,6057,isosorbide,C01DA,C01DA14,CHEMBL1311,DB01020,11,1.33,ambiguous,"resolves to IN 6057 'isosorbide', the osmotic diuretic oral solution, not the intended antianginal nitrate; correct concepts are isosorbide mononitrate (PIN 28004) or isosorbide dinitrate (IN 6058). RxNorm resolution succeeds but returns the WRONG drug"
ketoconazole,6135,ketoconazole,IN,6135,ketoconazole,D01AC;G01AF;H02CA;J02AB,D01AC08;G01AF11;H02CA03;J02AB02,CHEMBL157101,DB01026,3,0.36,resolved_exact,
lactulose,6218,lactulose,IN,6218,lactulose,A06AD,A06AD11;A06AD61,CHEMBL296306,DB00581,12,1.45,resolved_exact,
lamotrigine,28439,lamotrigine,IN,28439,lamotrigine,N03AX,N03AX09,CHEMBL741,DB00555,6,0.73,resolved_exact,
lansoprazole,17128,lansoprazole,IN,17128,lansoprazole,A02BC,A02BC03;A02BC53,CHEMBL480,DB00448,3,0.36,resolved_exact,
lantus,261551,Lantus,BN,274783,insulin glargine,A10AE,A10AE04,CHEMBL1201497,,7,0.85,brand_level,RxNorm BN 261551; ingredient-level concept is IN 274783 insulin glargine; no DrugBank ID via UniChem (structure-keyed lookup not applicable: molecule type Protein)
levetiracetam,114477,levetiracetam,IN,114477,levetiracetam,N03AX,N03AX14,CHEMBL1286,DB01202,78,9.43,resolved_exact,
levofloxacin,82122,levofloxacin,IN,82122,levofloxacin,J01MA;S01AE,J01MA12;S01AE05,CHEMBL5315124,,7,0.85,resolved_exact,no DrugBank ID via UniChem (ChEMBL-DrugBank cross-reference absent in UniChem despite DrugBank listing)
lidocaine,6387,lidocaine,IN,6387,lidocaine,C01BB;C05AD;D04AB;N01BB;R02AD;S01HA;S02DA,R02AD02;D04AB01;N01BB02;S01HA07;C01BB01;N01BB52;S02DA01;C05AD01,CHEMBL79,DB00281,4,0.48,resolved_exact,
liraglutide,475968,liraglutide,IN,475968,liraglutide,A10AE;A10BJ,A10BJ02,CHEMBL4084119,,72,8.71,resolved_exact,no DrugBank ID via UniChem (structure-keyed lookup not applicable: molecule type Protein)
lisinopril,29046,lisinopril,IN,29046,lisinopril,C09AA,C09AA03,CHEMBL419213,,5,0.6,resolved_exact,no DrugBank ID via UniChem (ChEMBL-DrugBank cross-reference absent in UniChem despite DrugBank listing)
lorazepam,6470,lorazepam,IN,6470,lorazepam,N05BA,N05BA56;N05BA06,CHEMBL580,DB00186,3,0.36,resolved_exact,
losartan,52175,losartan,IN,52175,losartan,C09CA,C09CA01,CHEMBL191,DB00678,3,0.36,resolved_exact,
lovastatin,6472,lovastatin,IN,6472,lovastatin,C10AA;C10BA,C10AA02,CHEMBL503,DB00227,1,0.12,resolved_exact,
meloxicam,41493,meloxicam,IN,41493,meloxicam,M01AC;N01BB,M01AC56;M01AC06,CHEMBL599,DB00814,4,0.48,resolved_exact,
memantine,6719,memantine,IN,6719,memantine,N06DA;N06DX,N06DX01,CHEMBL807,DB01043,9,1.09,resolved_exact,
metformin,6809,metformin,IN,6809,metformin,A10BA;A10BD,A10BA02,CHEMBL1431,DB00331,9,1.09,resolved_exact,
methadone,6813,methadone,IN,6813,methadone,N07BC,N02AC52;N07BC02,CHEMBL651,DB00333,5,0.6,resolved_exact,
methocarbamol,6845,methocarbamol,IN,6845,methocarbamol,M03BA,M03BA53;M03BA03;M03BA73,CHEMBL1201117,DB00423,7,0.85,resolved_exact,
methotrexate,6851,methotrexate,IN,6851,methotrexate,L01BA;L04AX,L04AX03;L01BA01,CHEMBL34259,DB00563,8,0.97,resolved_exact,
methylphenidate,6901,methylphenidate,IN,6901,methylphenidate,N06BA,N06BA04,CHEMBL796,DB00422,6,0.73,resolved_exact,
metoclopramide,6915,metoclopramide,IN,6915,metoclopramide,A03FA,A03FA01,CHEMBL86,DB01233,6,0.73,resolved_exact,
metoprolol,6918,metoprolol,IN,6918,metoprolol,C07AB;C07FB,C07AB02,CHEMBL13,DB00264,4,0.48,resolved_exact,
metronidazole,6922,metronidazole,IN,6922,metronidazole,A01AB;A02BD;D06BX;G01AF;J01RA;J01XD;P01AB,D06BX01;P01AB51;G01AF01;A01AB17;P01AB01;J01XD01,CHEMBL137,DB00916,6,0.73,resolved_exact,
montelukast,88249,montelukast,IN,88249,montelukast,R03DC,R03DC53;R03DC03,CHEMBL787,DB00471,8,0.97,resolved_exact,
moxifloxacin,139462,moxifloxacin,IN,139462,moxifloxacin,J01MA;S01AE,J01MA14;S01AE07,CHEMBL32,DB00218,8,0.97,resolved_exact,
mupirocin,42372,mupirocin,IN,42372,mupirocin,D06AX;R01AX,D06AX09;R01AX06,CHEMBL719,DB00410,5,0.6,resolved_exact,
nabumetone,31448,nabumetone,IN,31448,nabumetone,M01AX,M01AX01,CHEMBL1070,DB00461,6,0.73,resolved_exact,
naproxen,7258,naproxen,IN,7258,naproxen,G02CC;M01AE;M02AA;N02CC,G02CC02;M01AE02;M02AA12,CHEMBL154,DB00788,5,0.6,resolved_exact,
niacin,7393,niacin,IN,7393,niacin,C04AC;C10AD;C10BA,C10AD02;C04AC01;C10AD52,CHEMBL573,DB00627,4,0.48,resolved_exact,
nitrofurantoin,7454,nitrofurantoin,IN,7454,nitrofurantoin,J01XE,J01XE01;J01XE51,CHEMBL572,DB00698,13,1.57,resolved_exact,
nortriptyline,7531,nortriptyline,IN,7531,nortriptyline,N06AA,N06AA10,CHEMBL445,DB00540,5,0.6,resolved_exact,
olanzapine,61381,olanzapine,IN,61381,olanzapine,N05AH,N05AH03,CHEMBL715,DB00334,4,0.48,resolved_exact,
omeprazole,7646,omeprazole,IN,7646,omeprazole,A02BC;A02BD,A02BC01,CHEMBL1503,DB00338,9,1.09,resolved_exact,
ondansetron,26225,ondansetron,IN,26225,ondansetron,A04AA,A04AA01,CHEMBL46,DB00904,5,0.6,resolved_exact,
oseltamivir,260101,oseltamivir,IN,260101,oseltamivir,J05AH,J05AH02,CHEMBL1229,DB00198,12,1.45,resolved_exact,
oxycodone,7804,oxycodone,IN,7804,oxycodone,N02AA;N02AJ,N02AA05,CHEMBL656,DB00497,4,0.48,resolved_exact,
pantoprazole,40790,pantoprazole,IN,40790,pantoprazole,A02BC,A02BC02,CHEMBL1502,DB00213,4,0.48,resolved_exact,
paracetamol,161,acetaminophen,IN,161,acetaminophen,N02AJ;N02BE,N02BE51;N02BE01;N02BE71,CHEMBL112,DB00316,4,0.48,resolved_nomenclature_variant,INN form; RxNorm/USAN preferred term is 'acetaminophen'
paroxetine,32937,paroxetine,IN,32937,paroxetine,N06AB,N06AB05,CHEMBL490,DB00715,2,0.24,resolved_exact,
pemetrexed,68446,pemetrexed,IN,68446,pemetrexed,L01BA,L01BA04,CHEMBL225072,DB00642,7,0.85,resolved_exact,
penicillin,,,,,,J01CA;J01CE,J01CE02,CHEMBL615,DB00417,11,1.33,unresolvable,"no RxNorm concept via exact (search=0) or normalized (search=2) lookup; class/stem term; candidate ingredients penicillin G (IN 7980) and penicillin V (IN 7984) differ in route, PK and DDI profile. ATC assigned manually for this audit only; ATC assigned manually (no RxClass mapping available)"
perindopril,54552,perindopril,IN,54552,perindopril,C09AA;C09BB,C09AA04,CHEMBL1581,DB00790,6,0.73,resolved_exact,
phenazopyridine,8120,phenazopyridine,IN,8120,phenazopyridine,G04BX,G04BX06,CHEMBL1242,DB01438,8,0.97,resolved_exact,
phenytoin,8183,phenytoin,IN,8183,phenytoin,N03AB,N03AB02;N03AB52,CHEMBL16,DB00252,3,0.36,resolved_exact,
pioglitazone,33738,pioglitazone,IN,33738,pioglitazone,A10BD;A10BG,A10BG03,CHEMBL595,DB01132,4,0.48,resolved_exact,
pravastatin,42463,pravastatin,IN,42463,pravastatin,C10AA,C10AA03,CHEMBL1144,DB00175,4,0.48,resolved_exact,
prednisolone,8638,prednisolone,IN,8638,prednisolone,A01AC;A07EA;C05AA;D07AA;D07XA;H02AB;R01AD;S01BA;S01CB;S02BA;S03BA,A01AC04;A01AC54;A07EA01;C05AA04;D07AA03;D07XA02;H02AB06;R01AD02;R01AD52;S01BA04;S01CB02;S02BA03;S03BA02,CHEMBL131,DB00860,3,0.36,resolved_exact,
prednisone,8640,prednisone,IN,8640,prednisone,A07EA;H02AB,A07EA03;H02AB07,CHEMBL635,DB00635,1,0.12,resolved_exact,
