pair_id,drug_a,drug_b,faers_coreports,faers_expected,obs_exp_ratio,min_detectable_ror,evidence_tier,n_anchor_drugs,both_pk_inert,excluded_clinical,name_defect_v1,faers_reports_a,faers_reports_b,rxcui_a,atc_a,drugbank_a,chembl_a,rxcui_b,atc_b,drugbank_b,chembl_b,n_ae_terms_tested,median_upper95_ror,p95_upper95_ror,max_upper95_ror,frac_terms_equiv_ror1.5,frac_terms_equiv_ror2.0,frac_terms_equiv_ror3.0,gold_d3r_testable,gold_d3r_flagged,label_screen,label_evidence,d3_mechanism_hypotheses,d3_hypothesis_types,knowledge_state,recommended_use,paper5_role,clinical_anchor_status,clinical_anchor_type,clinical_anchor_source,clinical_anchor_locator,clinical_anchor_summary,clinical_anchor_concordance
ADDI2-0021,ustekinumab,clotrimazole,120.0,78.48453893103672,1.5289635593762274,9.5,EXCLUDED_clinical,1,True,True,False,100604,15859,847083.0,L04AC,,CHEMBL1201835,2623.0,A01AB;D01AC;G01AF,DB00257,CHEMBL104,145.0,5.996618860401183,15.645829093883668,26.054850408573675,0.0,0.0206896551724137,0.0758620689655172,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0022,sevelamer,glimepiride,108.0,30.665509264668085,3.521872050709247,10.35,EXCLUDED_clinical,1,False,True,False,15661,39805,214824.0,V03AE,,CHEMBL5314349,25789.0,A10BB;A10BD,DB00222,CHEMBL1481,16.0,9.020340832809296,13.171854194869551,14.261794679189045,0.0,0.1875,0.25,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0023,sevelamer,clotrimazole,77.0,12.21766892170258,6.302347894140657,13.6,EXCLUDED_clinical,1,True,True,False,15661,15859,214824.0,V03AE,,CHEMBL5314349,2623.0,A01AB;D01AC;G01AF,DB00257,CHEMBL104,12.0,8.318883915949417,20.006679135512737,22.458023277350183,0.0,0.0833333333333333,0.1666666666666666,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0024,dextromethorphan,zolmitriptan,68.0,23.07757233352559,2.946583766144849,15.15,EXCLUDED_clinical,1,False,True,True,65230,7192,3289.0,N06AX;R05DA,DB00514,CHEMBL52440,135775.0,N02CC,DB00315,CHEMBL1185,15.0,4.781443796821136,10.63802868346018,12.92514386262676,0.0666666666666666,0.1333333333333333,0.2,True,False,no_label_signal,,2,pk_inhibitor;biological_process,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0025,methotrexate,sevelamer,66.0,386.1704769763744,0.1709089739763763,15.55,EXCLUDED_clinical,1,False,True,False,501264,15661,6851.0,L01BA;L04AX,DB00563,CHEMBL34259,214824.0,V03AE,,CHEMBL5314349,13.0,3.733352388617929,5.973769973701349,6.977816624183872,0.0,0.0769230769230769,0.2307692307692307,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0026,nitrofurantoin,sevelamer,56.0,20.624201696380588,2.715256610869337,18.0,EXCLUDED_clinical,1,False,True,False,26771,15661,7454.0,J01XE,DB00698,CHEMBL572,214824.0,V03AE,,CHEMBL5314349,,,,,,,,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0027,hydrocodone,zopiclone,52.0,502.49459207052143,0.1034837007613052,19.25,EXCLUDED_clinical,1,False,True,False,224891,45422,5489.0,N02AJ;R05DA,DB00956,CHEMBL1457,40001.0,N05CF,DB01198,CHEMBL135400,16.0,4.7724527335841405,9.01530545154361,12.717437601241324,0.0,0.0,0.25,True,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0028,triamterene,sevelamer,29.0,16.341584788899368,1.7746136849407246,inf,EXCLUDED_clinical,1,False,True,False,21212,15661,10763.0,C03DB,DB00384,CHEMBL585,214824.0,V03AE,,CHEMBL5314349,,,,,,,,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0029,sevelamer,pemetrexed,1.0,29.011474636072624,0.0344691199790516,inf,EXCLUDED_clinical,1,False,True,False,15661,37658,214824.0,V03AE,,CHEMBL5314349,68446.0,L01BA,DB00642,CHEMBL225072,,,,,,,,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
ADDI2-0030,ustekinumab,pemetrexed,1.0,186.3655190784401,0.0053657994512338,inf,EXCLUDED_clinical,1,False,True,False,100604,37658,847083.0,L04AC,,CHEMBL1201835,68446.0,L01BA,DB00642,CHEMBL225072,,,,,,,,False,False,no_label_signal,,0,,POSITIVE_CONCERN_EXCLUDED,EXCLUDE_POSITIVE_CONCERN,not_used_in_paper5,NOT_ANCHORED,,,,,
