drug_a,drug_b,evidence_tier,faers_coreports,n_ae_terms_tested,median_upper95_ror,p95_upper95_ror,max_upper95_ror,frac_terms_equiv_delta1.5,frac_terms_equiv_delta2.0,frac_terms_equiv_delta3.0,involves_mega_hub
atenolol,ramipril,T1_wellpowered,4836.0,387,1.274024473486794,3.855175484419715,12.826613509545036,0.6098191214470284,0.7803617571059431,0.9069767441860465,False
atenolol,rosuvastatin,T1_wellpowered,7889.0,447,1.2405046682148886,2.283536977416936,4.491792184423029,0.7449664429530202,0.9172259507829977,0.9798657718120806,False
atenolol,sevelamer,T3_trivial_inert,310.0,68,3.148024378824879,10.926957984954978,15.554780614549996,0.19117647058823528,0.3088235294117647,0.4852941176470588,True
atenolol,solifenacin,T1_wellpowered,876.0,184,1.9843719086843596,6.205922165678803,12.58370117102143,0.29891304347826086,0.5054347826086957,0.7282608695652174,False
atenolol,triamcinolone,T1_wellpowered,1329.0,291,1.599459474126873,4.996395828733471,77.66614796772181,0.44673539518900346,0.6460481099656358,0.7869415807560137,False
atenolol,valproate,T2_moderate,374.0,82,2.688099277300025,18.249941255063877,36.82054928961853,0.21951219512195122,0.36585365853658536,0.524390243902439,False
atenolol,venlafaxine,T1_wellpowered,3908.0,408,1.5107407760907765,3.5294380986550187,23.54705285254563,0.49264705882352944,0.6985294117647058,0.9142156862745098,False
atenolol,zolmitriptan,T2_moderate,132.0,19,2.4204387141626635,4.859699552234247,7.116727383902557,0.15789473684210525,0.2631578947368421,0.631578947368421,False
atomoxetine,ustekinumab,T1_wellpowered,1054.0,239,12.097480434210114,47.98431226953858,67.23329964030317,0.016736401673640166,0.03765690376569038,0.05439330543933055,True
atorvastatin,atenolol,T1_wellpowered,20628.0,441,1.1839864248384646,2.2153071378967675,3.4976675736692373,0.7755102040816326,0.927437641723356,0.9909297052154195,False
atorvastatin,sevelamer,T1_wellpowered,1940.0,293,1.8779138296161237,4.894337207899378,6.737348824243488,0.3583617747440273,0.5392491467576792,0.757679180887372,True
atorvastatin,ustekinumab,T1_wellpowered,1419.0,242,1.673716141663526,29.787342481795577,95.78995122538241,0.4628099173553719,0.5578512396694215,0.6818181818181818,True
azithromycin,atenolol,T1_wellpowered,1741.0,396,2.1736931949028566,6.407738105874465,12.349823700782606,0.24494949494949494,0.4393939393939394,0.6843434343434344,False
azithromycin,dalteparin,T2_moderate,220.0,95,4.353346474471492,13.296934487125261,14.843240839653355,0.08421052631578947,0.23157894736842105,0.3684210526315789,False
azithromycin,heparin,T1_wellpowered,2497.0,413,2.1428089128423307,4.4182168243271365,7.339312588645333,0.26150121065375304,0.46731234866828086,0.7602905569007264,False
azithromycin,liraglutide,T2_moderate,454.0,67,4.690332758993334,54.578385539576935,111.12940889690039,0.2835820895522388,0.373134328358209,0.43283582089552236,False
azithromycin,sevelamer,T2_moderate,394.0,58,5.480503508872361,18.483767130356107,21.654136409010512,0.13793103448275862,0.2413793103448276,0.3448275862068966,True
azithromycin,ustekinumab,T2_moderate,183.0,48,2.696635667024345,12.196000167983945,15.106044054554078,0.10416666666666667,0.3125,0.5416666666666666,True
baclofen,dalteparin,T3_limited,96.0,23,3.3537916506937124,6.633786165602475,9.32832737641176,0.0,0.043478260869565216,0.34782608695652173,False
baclofen,heparin,T2_moderate,649.0,250,2.8601027724136605,9.690826851733902,17.724488353430864,0.172,0.272,0.512,False
baclofen,liraglutide,T2_moderate,229.0,57,2.521441282204872,9.259785231770428,15.271145083167248,0.21052631578947367,0.2982456140350877,0.631578947368421,False
baclofen,sevelamer,T3_limited,84.0,15,6.7345011656500615,10.912118554533334,11.4214662465335,0.0,0.0,0.2,True
baclofen,ustekinumab,T2_moderate,112.0,18,2.2923676172582557,7.26230126510726,8.465678159568638,0.2222222222222222,0.2777777777777778,0.6666666666666666,True
buprenorphine,dalteparin,T3_limited,96.0,25,5.763371366429123,11.924208744347181,13.812568201735031,0.04,0.08,0.16,False
buprenorphine,ustekinumab,T1_wellpowered,1098.0,239,10.956662876985684,86.3567258030132,249.163356608864,0.029288702928870293,0.04184100418410042,0.06276150627615062,True
carvedilol,liraglutide,T1_wellpowered,998.0,187,1.769542117521147,5.352010236011847,7.55916296376564,0.39037433155080214,0.5882352941176471,0.7754010695187166,False
carvedilol,sevelamer,T1_wellpowered,1761.0,266,1.6892688280677193,4.9092153263603375,8.92579395709008,0.42105263157894735,0.5827067669172933,0.7744360902255639,True
carvedilol,ustekinumab,T2_moderate,204.0,35,1.8118682707550722,7.7042601196908045,9.856028932801378,0.34285714285714286,0.5714285714285714,0.7428571428571429,True
cefdinir,chlorpheniramine,T2_moderate,285.0,92,2.9799660786492783,7.084366078942077,11.754915701083313,0.03260869565217391,0.10869565217391304,0.5217391304347826,False
cefdinir,citalopram,T2_moderate,281.0,71,2.7631517263843595,8.767130063307324,15.839161725760352,0.15492957746478872,0.3380281690140845,0.5774647887323944,False
cefdinir,conjugated estrogens,T2_moderate,126.0,32,5.100867825587548,10.764285113046126,12.794794951633191,0.03125,0.125,0.3125,False
cefdinir,dextromethorphan,T2_moderate,359.0,116,3.045912177244343,8.27197778066381,12.703021660020553,0.09482758620689655,0.16379310344827586,0.49137931034482757,False
cefdinir,levetiracetam,T2_moderate,140.0,23,2.4660665786355946,5.810734244947181,8.618038280233081,0.043478260869565216,0.34782608695652173,0.7391304347826086,False
cefuroxime,liraglutide,T2_moderate,216.0,45,14.047393332670422,136.97271848469524,151.29302045825682,0.13333333333333333,0.17777777777777778,0.3111111111111111,False
celecoxib,levetiracetam,T2_moderate,782.0,208,1.9922906327504981,6.289112277607051,11.704900294491404,0.3605769230769231,0.5,0.6875,False
celecoxib,ustekinumab,T1_wellpowered,4200.0,353,9.064814643371136,45.48529799859989,84.84028789573081,0.22946175637393768,0.26912181303116145,0.31728045325779036,True
cephalexin,heparin,T2_moderate,461.0,227,3.5643054086872255,9.899798999871892,20.936963747453692,0.06607929515418502,0.13215859030837004,0.36123348017621143,False
cephalexin,levetiracetam,T2_moderate,380.0,82,2.0563581134895257,5.940764408369177,11.623608919546378,0.2926829268292683,0.4878048780487805,0.7682926829268293,False
cephalexin,liraglutide,T2_moderate,335.0,56,3.083992921761993,127.15935174486535,144.24550265103596,0.23214285714285715,0.2857142857142857,0.4642857142857143,False
cephalexin,sevelamer,T2_moderate,198.0,27,6.543336105990509,21.072493309191948,22.67974971300058,0.07407407407407407,0.18518518518518517,0.2962962962962963,True
chlorhexidine,citalopram,EXCLUDED_clinical,434.0,233,3.9402978310731878,14.00243611730427,19.545539654632673,0.3090128755364807,0.37339055793991416,0.43776824034334766,False
chlorpheniramine,sumatriptan,T1_wellpowered,1130.0,259,2.142650053004396,5.337175564402537,8.105354113853796,0.22393822393822393,0.4555984555984556,0.7142857142857143,False
chlorpheniramine,amoxicillin,T1_wellpowered,2585.0,398,2.2401961278518656,5.403539706049413,13.00434713005877,0.18592964824120603,0.4221105527638191,0.7060301507537688,False
chlorpheniramine,cefuroxime,T2_moderate,212.0,47,2.6151020379234886,8.413196917943795,10.039912720416561,0.1702127659574468,0.2765957446808511,0.574468085106383,False
chlorpheniramine,perindopril,T2_moderate,162.0,68,5.2216190454880085,15.707828378928557,18.439236739803363,0.029411764705882353,0.10294117647058823,0.19117647058823528,False
chlorpheniramine,insulin glargine,T1_wellpowered,1499.0,357,2.198286366758591,7.425024326708275,20.30784748604953,0.2857142857142857,0.453781512605042,0.6498599439775911,False
